Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Email 4;Email 5;Email 6;Email 7;Email 8;Telefone 1;Telefone 2;Telefone 3;Telefone 4;Telefone 5;Telefone 6
SEIP - Secretaria Executiva de EducaÃ§Ã£o Integral e Profissional de Pernambuco;https://sisacad.educacao.pe.gov.br/sissel/seip/index.php?p=polo&id=72;ETE DE CARUARU NELSON BARBALHO | ;2025-05-26 16:14:04;etenelsonbarbalho@gmail.com;;;;;;;;(81)9488-9852;(81) 3183-9832;(81)3701-1147;;;
Grau Técnico | Caruaru;https://www.grautecnico.com.br/unidades/caruaru;Grau Técnico | Caruaru | Caruaru Unidade Grau Técnico;2025-05-26 16:14:04;caruarupedagogico@grautecnico.com.br;ouvidorianacional@graueducacional.com.br;caruarufinanceiro@grautecnico.com.br;caruaru@grautecnico.com.br;caruaruadministrativo@grautecnico.com.br;caruarucurriculo@grautecnico.com.br;caruarucomercial@grautecnico.com.br;dpo@graueducacional.com.br;(81) 3721-9050;;;;;
Caruaru - Senac Pernambuco;https://www.pe.senac.br/unidades/caruaru/caruaru/;Endereço | Caruaru - Senac Pernambuco;2025-05-26 16:14:04;cfp-caruaru@pe.senac.br;senac@pe.senac.br;;;;;;;;;;;;
Cebrac Caruaru;https://www.cebrac.com.br/escolas/caruaru/;Cebrac Caruaru | Caruaru;2025-05-26 16:14:04;;;;;;;;;(81) 98494-5146;(81) 3721-9070;;;;
ESCOLA TECNICA REGIONAL - ETR | QEdu;https://qedu.org.br/escola/26168880-escola-tecnica-regional-etr;Caruaru | RUA RADIO CLUBE DE PERNAMBUCO, 35 CASA. MAURICIO DE NASSAU. 55012-530 Caruaru - PE.;2025-05-26 16:14:04;;;;;;;;;(81) 3719-0651;;;;;
SEIP - Secretaria Executiva de EducaÃ§Ã£o Integral e Profissional de Pernambuco;https://sisacad.educacao.pe.gov.br/sissel/seip/index.php?p=polo&id=116; | GRE AGRESTE CENTRO NORTE - CARUARU;2025-05-26 16:14:04;etemflcaruaru@gmail.com;;;;;;;;(81)9488-9852;(81) 3183-9832;(81)3701-1147;;;
ESCOLA TECNICA SENAI DE CARUARU JOSE VICTOR DE ALBUQUERQUE | QEdu;https://qedu.org.br/escola/26169541-escola-tecnica-senai-de-caruaru-jose-victor-de-albuquerque;ESCOLA TECNICA SENAI DE CARUARU JOSE VICTOR DE ALBUQUERQUE | QEdu | Caruaru;2025-05-26 16:14:04;;;;;;;;;(81) 2103-2775;;;;;
ETE Nelson Barbalho abre 60 vagas para cursos técnicos gratuitos, saiba como se inscrever | Caruaru e Região | G1;https://g1.globo.com/pe/caruaru-regiao/noticia/2025/03/26/ete-nelson-barbalho-abre-65-vagas-para-cursos-tecnicos-gratuitos-saiba-como-se-inscrever.ghtml;ETE Nelson Barbalho abre 60 vagas para cursos técnicos gratuitos, saiba como se inscrever | Caruaru e Região | G1 | Caruaru e Região;2025-05-26 16:14:04;957b0b3a18c149f4814f2525021e644f@web.sentry.globoi.com;cobertura-ao-vivo-frontend@apps.globoid;;;;;;;;;;;;
PE - Escola Técnica Senai Caruaru - Portal Mundo do Ar Condicionado e da Refrigeração;http://mundodoaredarefrigeracao.com.br/empresa-de-educacao/escola-tecnica-senai-caruaru/;PE - Escola Técnica Senai Caruaru - Portal Mundo do Ar Condicionado e da Refrigeração | PE – Escola Técnica Senai Caruaru;2025-05-26 16:14:04;cristiane@dirienzocomunicacao.com.br;senaicaruaru@pe.senai.br;contato@mundodoaredarefrigeracao.com.br;;;;;;(81) 3721-2675;(11) 99405-5883;;;;
Grau Técnico | Caruaru;https://www.grautecnico.com.br/caruaru/matriculasabertas;Grau Técnico | Caruaru | Caruaru;2025-05-26 16:14:04;caruarupedagogico@grautecnico.com.br;caruarufinanceiro@grautecnico.com.br;caruaru@grautecnico.com.br;caruaruadministrativo@grautecnico.com.br;caruarucurriculo@grautecnico.com.br;caruarucomercial@grautecnico.com.br;;;(81) 3721-9050;;;;;
