Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Email 4;Email 5;Email 6;Email 7;Email 8;Telefone 1;Telefone 2
Grau Técnico | Londrina;https://www.grautecnico.com.br/unidades/londrina;Rua Prefeito Hugo Cabral 521, Centro, Londrina, PR 86020-110 | DPO (ENCARREGADO) David Henrique dpo@graueducacional.com.br;2025-05-26 14:45:20;dpo@graueducacional.com.br;londrinapedagogico@grautecnico.com.br;ouvidorianacional@graueducacional.com.br;londrinacomercial@grautecnico.com.br;londrinafinanceiro@grautecnico.com.br;londrinacurriculo@grautecnico.com.br;londrina@grautecnico.com.br;londrinaadministrativo@grautecnico.com.br;(43) 3304-3354;
;https://www.cepmta.com.br/;Rua Ulrico Zuinglio, 1.110 Gleba Palhano Londrina - PR;2025-05-26 14:45:20;;;;;;;;;(43) 3374-4900;
UniFil Técnicos - Qualificação Profissional;https://unifiltecnicos.com.br/;Endereço de E-mail*: | Rua Alagoas, 2015 – Centro - Londrina/PR;2025-05-26 14:45:20;boleto@unifil.br;contato@unifilead.com.br;sistemaonline@unifil.br;matriculas@unifil.br;apoio@unifiltecnicos.com.br;contato@unifiltecnicos.com.br;;;;
Curso Técnico – Cebrac Londrina;https://londrinacebrac.com.br/curso-tecnico/;"Rua Maranhão, 65 - Centro, Londrina - PR | 3 chances de avaliação por módulo;";2025-05-26 14:45:20;gestao@cebraclondrina.com.br;;;;;;;;(43) 3026-8888;
Cursos Técnicos :: Ceep Castaldi;https://ceepcastaldi.webnode.page/cursos-tecnicos/;Avenida Arthur Thomas, 1181 86065-000 Londrina Paraná | Cursos Técnicos :: Ceep Castaldi;2025-05-26 14:45:20;;;;;;;;;(43) 3338-0011;
INSTITUTO DE EDUCAÇÃO ESTADUAL DE LONDRINA - IEEL - Administração de Conteúdo;http://www.ldaieelondrina.seed.pr.gov.br/modules/conteudo/conteudo.php?conteudo=1;Em 1976, através do Decreto nº 1589 de 06 de fevereiro de 1976, reorganiza-se o Instituto de Educação Estadual de Londrina, passando a ofertar o Ensino de 1º Grau- 1/8 séries. | Em 1982, através da Resolução nº 1026 de 13 de abril de 1982, há o reconhecimento do Curso de 1º grau regular.;2025-05-26 14:45:20;;;;;;;;;(41) 3340-1500;
O Mater Ter Admirabilis;https://cepmta.com.br/sobre/o-mater-ter-admirabilis;Rua Ulrico Zuinglio, 1.110 Gleba Palhano Londrina - PR;2025-05-26 14:45:20;;;;;;;;;(43) 3374-4900;
Cebrac Londrina;https://www.cebrac.com.br/escolas/londrina/;Rua Maranhão, 65 | Ruan – Aluno Cebrac Joinville/SC;2025-05-26 14:45:20;;;;;;;;;(43) 3026-8888;
COLÉGIO DE APLICAÇÃO - Enfermagem;http://www.uel.br/aplicacao/pages/tecnico-em-enfermagem.php;Nascimento ou Casamento, Comprovante de endereço (Copel), além de duas fotos 3x4 e | LOCAL: Rua Piauí, 720 - Centro – Fone: 3371-6785;2025-05-26 14:45:20;;;;;;;;;(43) 3371-6785;
COLÉGIO DE APLICAÇÃO - Principal;https://www.uel.br/aplicacao/;Abrir menu de navegação | (NÃO HAVERÁ OUTRO DIA PARA A ENTREVISTA);2025-05-26 14:45:20;inscricaoenfermagemcapl@gmail.com;;;;;;;;;
Portal da Prefeitura de Londrina - Qualificação Profissional;https://portal.londrina.pr.gov.br/qualificacao-profissional;Este endereço de email está sendo protegido de spambots. Você precisa do JavaScript ativado para vê-lo. | Prefeitura do Município de Londrina - Avenida Duque de Caxias, 635 - Jd. Mazei II - CEP: 86015-901 CNPJ: 75.771.477/0001-70 - Londrina - Paraná - Brasil;2025-05-26 14:45:20;secretaria.trabalho@londrina.pr.gov.br;;;;;;;;(43) 3372-4000;
ETC - Escola Técnica de Campos - Londrina, PR - Cursos e Mensalidades | Quero Bolsa;https://querobolsa.com.br/etc-escola-tecnica-de-campos/cursos/parana--londrina;.fade-enter-active,.fade-leave-active{transition:opacity .25s}.fade-enter,.fade-leave-to{opacity:0} | Como os estudantes da ETC - Escola Técnica de Campos em Londrina (PR) avaliam a instituição?;2025-05-26 14:45:20;imprensa@querobolsa.com.br;;;;;;;;;
INSTITUTO DE EDUCAÇÃO ESTADUAL DE LONDRINA - IEEL - CURSOS OFERTADOS - Assunto - Notícias;http://www.ldaieelondrina.seed.pr.gov.br/modules/noticias/article.php?storyid=34;redeescola/escolas/18/1380/44/arquivos/File/CURSOSOFERTADOS(1).pdf | Av. Presidente Kennedy, 2511 - Guaíra - CEP 80610-011 Curitiba-PR - Fone: (41) 3340-1500 Desenvolvido pela Celepar - Acesso Restrito;2025-05-26 14:45:20;;;;;;;;;(41) 3340-1500;
Curso Técnico em Redes de Computadores EAD em Londrina - PR EAD - iCursos;https://www.icursos.com.br/localidades/pr/londrina/curso-tecnico-em-redes-de-computadores-ead;Aviso de Cookies | ;2025-05-26 14:45:20;contato@icursos.com.br;first.last@email.com;;;;;;;(17) 3121-8799;
Curso Técnico em Agrimensura EAD em Londrina - PR EAD - iCursos;https://www.icursos.com.br/localidades/pr/londrina/curso-tecnico-em-agrimensura-ead;Aviso de Cookies | ;2025-05-26 14:45:20;contato@icursos.com.br;first.last@email.com;;;;;;;(17) 3121-8799;
Confira Cursos Técnicos à distância na UniCesumar;https://inscricoes.unicesumar.edu.br/tecnico/;Acesse o site da UniCesumar : navegue até a seção de cursos técnicos. | Por favor, informe o número do CPF:;2025-05-26 14:45:20;;;;;;;;;44 99103-6999;(44) 99103-6999
