Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Email 4;Email 5;Email 6;Email 7;Email 8;Email 9;Email 10;Telefone 1;Telefone 2;Telefone 3;Telefone 4;Telefone 5;Telefone 6;Telefone 7;Telefone 8;Telefone 9;Telefone 10;Telefone 11;Telefone 12;Telefone 13
Escolas na cidade de Coari - AM;https://www.melhorescola.com.br/busca/amazonas/coari;".the-footer-navigation-desktop{display:flex;gap:1.5rem}.the-footer-navigation-desktop>li{flex:1}.the-footer-navigation-desktop>li>ul{display:flex;flex-direction:column;gap:.5rem} | .the-footer-navigation-mobile__link-list>li{padding:.75rem 0}";2025-05-27 17:52:36;imprensa@melhorescola.com.br;;;;;;;;;;;;;;;;;;;;;;
Escolas na cidade de Coari - AM;https://querobolsa.com.br/escolas/mensalidades/coari-am;Avalie a escola | Avalie a escola e contribua para a educação brasileira.;2025-05-27 17:52:36;imprensa@querobolsa.com.br;;;;;;;;;;;;;;;;;;;;;;
ESCOLA ESTADUAL PREFEITO ALEXANDRE MONTORIL | QEdu;https://qedu.org.br/escola/13059602-escola-estadual-prefeito-alexandre-montoril;Não extraído;2025-05-27 17:52:36;;;;;;;;;;;(97) 3561-4625;;;;;;;;;;;;
Portal Consed;https://www.consed.org.br/noticia/em-coari-reforma-de-oito-escolas-estaduais-traz-beneficios-educacionais-a-comunidade-escolar;Coronavirus | AVALIAÇÃO;2025-05-27 17:52:36;consed@consed.org.br;atendimento@maxmeio.com;;;;;;;;;(61) 2195-8650;;;;;;;;;;;;
Escola Alexandre Montoril se destaca pelo ensino inovador e inclusivo em Coari | No Ar!;https://noarportal.com.br/escola-alexandre-montoril-se-destaca-pelo-ensino-inovador-e-inclusivo-em-coari/;Busca Avançada;2025-05-27 17:52:36;;;;;;;;;;;(92) 98462-9576;;;;;;;;;;;;
Escola Estadual João Vieira em Coari, AM - Escolas.com.br;https://escolas.com.br/escola-estadual-joao-vieira-13016776;Rua Vieira Martins, 828 , Itamaraty . Coari , AM . | Rua Vieira Martins,;2025-05-27 17:52:36;;;;;;;;;;;(97) 3561-3462;;;;;;;;;;;;
Portal Consed;https://www.consed.org.br/noticia/pce-escola-de-coari-estuda-a-linguagem-neurocientifica-associada-a-pratica-de-esportes;Coronavirus | AVALIAÇÃO;2025-05-27 17:52:36;consed@consed.org.br;atendimento@maxmeio.com;;;;;;;;;(61) 2195-8650;;;;;;;;;;;;
Escola Municipal De Educacao Infantil Candida Aquino De Araujo - Todas as Informações;https://querobolsa.com.br/escolas/escola-de-educacao-candida-aquino-de-araujo;Avalie a escola | Avalie a escola e contribua para a educação brasileira.;2025-05-27 17:52:36;imprensa@querobolsa.com.br;eguinaldo-lino@bol.com.br;;;;;;;;;(97) 3561-4669;;;;;;;;;;;;
EDUCAçãO - Secretaria de Estado da Educação;https://seed.portal.ap.gov.br/noticia/0808/governo-do-amapa-inicia-revitalizacao-da-escola-coaracy-nunes;Toggle navigation | DAR Avulso;2025-05-27 17:52:36;seed@seed.ap.gov.br;cotec@prodap.ap.gov.br;;;;;;;;;;;;;;;;;;;;;
N/A;https://transparencia.coari.am.gov.br/institucional/modal_secretario/2;Endereço | Endereço Rua Plinio Coelho, nº 977 - Chagas Aguiar Coari / AM - CEP: 69460000;2025-05-27 17:52:36;semed@coari.am.gov.br;;;;;;;;;;;;;;;;;;;;;;
Escola Municipal De Educacao Infantil Candida Aquino De Araujo | Bolsas de Estudo em Coari - AM;https://www.melhorescola.com.br/escola/esc-de-educ-inf-candida-aquino-de-araujo;"Qual o endereço da Escola Municipal De Educacao Infantil Candida Aquino De Araujo? | .the-footer-navigation-desktop{display:flex;gap:1.5rem}.the-footer-navigation-desktop>li{flex:1}.the-footer-navigation-desktop>li>ul{display:flex;flex-direction:column;gap:.5rem}";2025-05-27 17:52:36;eguinaldo-lino@bol.com.br;email@email.com;imprensa@melhorescola.com.br;;;;;;;;(97) 3561-4669;;;;;;;;;;;;
Coari | Cidade | G1;https://g1.globo.com/am/amazonas/cidade/coari/;Caruaru e região | Carnaval 2025;2025-05-27 17:52:36;cobertura-ao-vivo-frontend@apps.globoid;;;;;;;;;;;;;;;;;;;;;;
40 ANOS. Educação profissional segue a bordo do Samaúma;https://cnsesi.com.br/noticias/1469/40-anos-educacao-profissional-segue-a-bordo-do-samauma; | Toggle navigation;2025-05-27 17:52:36;lgpd.cnsesi@cnsesi.com.br;;;;;;;;;;61 3217-0700;61 3217-0715;;;;;;;;;;;
SENAI realiza formatura da primeira turma do Barco-Escola Samaúma 2 em Tefé – SENAI;https://fieam.org.br/senai/senai-realiza-formatura-da-primeira-turma-do-barco-escola-samauma-2-em-tefe/;O seu endereço de e-mail não será publicado. | Escola de SENAI Desmóstenes Travessa;2025-05-27 17:52:36;;;;;;;;;;;(92) 3186-6576;(92) 3182-9925;(92) 3233-5594;;;;;;;;;;
Coari vai receber visita do ministro do Desenvolvimento Social - Jornal do Commercio;https://jcam.com.br/noticias/coari-vai-receber-visita-do-ministro-do-desenvolvimento-social/;Endereço: Av. Tefé, 3025 - Japiim, Manaus - AM, 69078-000;2025-05-27 17:52:36;;;;;;;;;;;(92) 99618-5722;(92) 2101-5500;;;;;;;;;;;
Senac Amazonas;https://am.senac.br:8080/jefferson-peres;;2025-05-27 17:52:36;atendimento.publico@am.senac.br;;;;;;;;;;(92) 3198-2000;92 3198-2000;(97) 3521-2479;;;;;;;;;;
