Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Email 4;Telefone 1;Telefone 2;Telefone 3;Telefone 4;Telefone 5;Telefone 6;Telefone 7;Telefone 8;Telefone 9;Telefone 10;Telefone 11;Telefone 12;Telefone 13;Telefone 14;Telefone 15;Telefone 16;Telefone 17;Telefone 18;Telefone 19;Telefone 20;Telefone 21;Telefone 22;Telefone 23;Telefone 24;Telefone 25;Telefone 26;Telefone 27;Telefone 28;Telefone 29;Telefone 30;Telefone 31;Telefone 32;Telefone 33;Telefone 34;Telefone 35;Telefone 36;Telefone 37;Telefone 38;Telefone 39;Telefone 40;Telefone 41;Telefone 42;Telefone 43;Telefone 44;Telefone 45;Telefone 46;Telefone 47;Telefone 48;Telefone 49;Telefone 50;Telefone 51;Telefone 52;Telefone 53;Telefone 54;Telefone 55;Telefone 56;Telefone 57;Telefone 58;Telefone 59;Telefone 60;Telefone 61;Telefone 62;Telefone 63;Telefone 64;Telefone 65;Telefone 66;Telefone 67;Telefone 68;Telefone 69;Telefone 70;Telefone 71;Telefone 72;Telefone 73;Telefone 74;Telefone 75;Telefone 76;Telefone 77;Telefone 78;Telefone 79;Telefone 80;Telefone 81;Telefone 82;Telefone 83;Telefone 84;Telefone 85;Telefone 86;Telefone 87;Telefone 88;Telefone 89;Telefone 90;Telefone 91;Telefone 92
Colégio Master – AracajuColégio Master - Aracaju;https://masteraracaju.com.br/;Rua José Seabra Batista, 106 - Jardins, Aracaju - SE, 49025-750 atendimento@master.aju.com.br Tel: (79) 3226-0700 | Colégio Master – AracajuColégio Master - Aracaju;2025-05-27 10:59:56;atendimento@master.aju.com.br;;;;(79) 3226-0700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégio Master – AracajuAplicativo Master Aracaju - Colégio Master - Aracaju;https://masteraracaju.com.br/appmaster/;Rua José Seabra Batista, 106 - Jardins, Aracaju - SE, 49025-750 atendimento@master.aju.com.br Tel: (79) 3226-0700 | Colégio Master – AracajuAplicativo Master Aracaju - Colégio Master - Aracaju;2025-05-27 10:59:56;atendimento@master.aju.com.br;;;;(79) 3226-0700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégio Master – AracajuPré-vestibular - Colégio Master - Aracaju;https://masteraracaju.com.br/pre-vestibular/;Rua José Seabra Batista, 106 - Jardins, Aracaju - SE, 49025-750 atendimento@master.aju.com.br Tel: (79) 3226-0700 | Colégio Master – AracajuPré-vestibular - Colégio Master - Aracaju;2025-05-27 10:59:56;atendimento@master.aju.com.br;;;;(79) 3226-0700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégio Master – AracajuEnsino Fundamental II - Colégio Master - Aracaju;https://masteraracaju.com.br/fundamental2/;Rua José Seabra Batista, 106 - Jardins, Aracaju - SE, 49025-750 atendimento@master.aju.com.br Tel: (79) 3226-0700 | Colégio Master – AracajuEnsino Fundamental II - Colégio Master - Aracaju;2025-05-27 10:59:56;atendimento@master.aju.com.br;;;;(79) 3226-0700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégio Master – AracajuFale Conosco - Colégio Master - Aracaju;https://masteraracaju.com.br/contato/;Rua José Seabra Batista, 106 - Jardins, Aracaju - SE, 49025-750 atendimento@master.aju.com.br Tel: (79) 3226-0700 | Colégio Master – AracajuFale Conosco - Colégio Master - Aracaju;2025-05-27 10:59:56;atendimento@master.aju.com.br;;;;(79) 3226-0700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégio Módulo;https://colegiomodulo.com/;Não extraído;2025-05-27 10:59:56;lgpd@colegiomodulo.com;;;;(79) 3512-2512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégio Santanna;https://colegiosantanna-se.com.br/; | 📚A Maneira Criativa de Aprender! 📍Av. São João Batista, 1250, Ponto Novo, Aracaju. 📞(79) 3259-5454 Fale direto conosco👇🏽;2025-05-27 10:59:56;santanna@colegiosantanna-se.com.br;;;;(79) 3259-5454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégio CCPA - Escola Particular - Aracaju - 46 anos;https://ccpa.com.br/;Endereço | Rua José Alencar Cardoso Neto, 67 - Grageru - Aracaju - SE - CEP: 49025770;2025-05-27 10:59:56;atendimento@ccpa.com.br;secretaria@ccpa.com.br;;;(79) 99191-5100;(79) 99133-5659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégio São Paulo – Escola de Ensino Fundamental e Médio – #penseGRANDE;https://colegiosaopaulose.com.br/;Endereço | Rua Urquiza Leal, n 872, Bairro Grageru, Aracaju/SE;2025-05-27 10:59:56;;;;;(79) 3218-3500;(79) 99911-8830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégio Jardins;https://www.grupojardins.com.br/;Aruana - Aracaju | R. Orlando Tavares Macedo, 1121 - Aruana, Aracaju - SE;2025-05-27 10:59:56;sweetalert2@8.js;;;;(79) 99956-5876;(79) 99917-1776;(79) 3026-8222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
