Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Email 4;Email 5;Email 6;Email 7;Email 8;Telefone 1;Telefone 2;Telefone 3;Telefone 4;Telefone 5
Melhores Escolas em Barreiras - BA;https://www.melhorescola.com.br/escola/por-avaliacao/bahia/barreiras;".the-footer-navigation-desktop{display:flex;gap:1.5rem}.the-footer-navigation-desktop>li{flex:1}.the-footer-navigation-desktop>li>ul{display:flex;flex-direction:column;gap:.5rem} | .the-footer-navigation-mobile__link-list>li{padding:.75rem 0}";2025-05-27 09:40:12;imprensa@melhorescola.com.br;;;;;;;;;;;;
N/A;https://barreiras.educacaoadventista.org.br/;"const userLanguage = navigator.language || navigator.userLanguage;
      document.documentElement.lang = userLanguage; | Programa Adventista de Avaliação da Educação Básica.";2025-05-27 09:40:12;;;;;;;;;(77) 3611-5835;(08) 00878-5130;;;
Escolas na cidade de Barreiras - BA;https://querobolsa.com.br/escolas/mensalidades/barreiras-ba;Avalie a escola | Avalie a escola e contribua para a educação brasileira.;2025-05-27 09:40:12;imprensa@querobolsa.com.br;;;;;;;;;;;;
MATRÍCULAS | COOPEB;https://www.coopeb.g12.br/;Rua COOPEB, 268. Recanto dos Pássaros, Barreiras - BA | MATRÍCULAS | COOPEB;2025-05-27 09:40:12;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com;baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com;;;;;
Escola O Sonho de Talita | Barreiras - Bahia;https://www.escolaosonhodetalita.com.br/;Rua Barão de Cotegipe, 782 - São Paulo, Barreiras. | Escola O Sonho de Talita | Barreiras - Bahia;2025-05-27 09:40:12;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;;77 99117-3204;77 3611-3969;;;
Escolas particulares em Barreiras - BA;https://www.melhorescola.com.br/escola/por-mensalidade/bahia/barreiras;".the-footer-navigation-desktop{display:flex;gap:1.5rem}.the-footer-navigation-desktop>li{flex:1}.the-footer-navigation-desktop>li>ul{display:flex;flex-direction:column;gap:.5rem} | .the-footer-navigation-mobile__link-list>li{padding:.75rem 0}";2025-05-27 09:40:12;imprensa@melhorescola.com.br;;;;;;;;;;;;
Início | Maple Bear Barreiras;https://barreiras.maplebear.com.br/;Avenida Transversal B, 117, quadra 39, Lote 1 e 2, Parque da Cidade Barreiras - BA | Ter a consciência de que posso fazer reflexões profundas. Habilidade que, na Maple Bear, está ligada às constantes avaliações e a cultura de portfólio;2025-05-27 09:40:12;;;;;;;;;(77) 98889-2327;;;;
Escolas no Ensino Médio na cidade de Barreiras - BA;https://querobolsa.com.br/escolas/etapa-de-ensino/ensino-medio/barreiras-ba;Avalie a escola | Avalie a escola e contribua para a educação brasileira.;2025-05-27 09:40:12;imprensa@querobolsa.com.br;;;;;;;;;;;;
Secretaria de Educação de Barreiras;https://barreiras.portaleducanet.com.br/;Rua Edgar de Deus Pitta, 914, Lot. Aratu, CEP 47806-146,  BARREIRAS/BA | Secretaria de Educação de Barreiras;2025-05-27 09:40:12;educacao@barreiras.ba.gov.br;;;;;;;;77 3614-7250;;;;
Prefeito Zito Barbosa inaugura Escola Municipal Dr. Othoniel Gomes de Andrade, uma moderna estrutura com capacidade para atender mais de 600 estudantes - Prefeitura de Barreiras - BAPrefeitura de Barreiras – BA;https://barreiras.ba.gov.br/prefeito-zito-barbosa-inaugura-escola-municipal-dr-othoniel-gomes-de-andrade-uma-moderna-estrutura-com-capacidade-para-atender-mais-de-600-estudantes/;"Prefeitura de Barreiras (77) 3614-7100 contato@barreiras.ba.gov.br Rua Edigar de Deus Pitta, 914 - Lot. Aratu CEP: 47.806-146 | .wp-pagenavi{float:left !important; }";2025-05-27 09:40:12;contato@barreiras.ba.gov.br;;;;;;;;(77) 3614-7100;;;;
Mais Educação no Campo: Prefeitura de Barreiras inaugura Escola Municipal Adolfo Nepomuceno Alves no Barrocão de Baixo - Prefeitura de Barreiras - BAPrefeitura de Barreiras – BA;https://barreiras.ba.gov.br/mais-educacao-no-campo-prefeitura-de-barreiras-inaugura-escola-municipal-adolfo-nepomuceno-alves-no-barrocao-de-baixo/;"Prefeitura de Barreiras (77) 3614-7100 contato@barreiras.ba.gov.br Rua Edigar de Deus Pitta, 914 - Lot. Aratu CEP: 47.806-146 | .wp-pagenavi{float:left !important; }";2025-05-27 09:40:12;contato@barreiras.ba.gov.br;;;;;;;;(77) 3614-7100;;;;
ESCOLA MONTEIRO LOBATO - BARREIRAS - OBJETIVO - Educação de Qualidade;https://www.objetivo.br/institucional/unidade/ba/barreiras/oc-8038-escola-monteiro-lobato.aspx;Endereço | Rua Barão de Cotegipe, 586 - Centro Barreiras / BA - CEP: 47800-071 Região - Telefone Tel.: (77) 3611-2479 Horário de funcionamento -;2025-05-27 09:40:12;;;;;;;;;(77) 3611-2479;(11) 99105-9999;;;
