Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Email 4;Email 5;Email 6;Email 7;Email 8;Email 9;Email 10;Email 11;Email 12;Email 13;Email 14;Email 15;Email 16;Email 17;Email 18;Email 19;Email 20;Email 21;Email 22;Email 23;Email 24;Email 25;Email 26;Email 27;Email 28;Email 29;Email 30;Email 31;Email 32;Email 33;Email 34;Email 35;Telefone 1;Telefone 2;Telefone 3;Telefone 4;Telefone 5;Telefone 6;Telefone 7;Telefone 8;Telefone 9;Telefone 10;Telefone 11;Telefone 12;Telefone 13;Telefone 14;Telefone 15;Telefone 16;Telefone 17;Telefone 18;Telefone 19;Telefone 20;Telefone 21;Telefone 22;Telefone 23;Telefone 24;Telefone 25;Telefone 26;Telefone 27;Telefone 28;Telefone 29;Telefone 30;Telefone 31;Telefone 32;Telefone 33;Telefone 34;Telefone 35;Telefone 36;Telefone 37;Telefone 38
Colégio Anglo;https://www.colegioanglo.com/;Home Sobre Nós Proposta Pedagógica Informativos Eventos Contato Boletim Online | Informativos;2025-05-27 13:01:48;atendimento@colegioanglo.com;direcao@colegioanglo.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14 3815-6665;14 98188-3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESCOLAS ESTADUAIS – Diretoria de Ensino – Região de Botucatu;https://debotucatu.educacao.sp.gov.br/escolas-estaduais/;Endereço | Rua Prudente de Moraes, 15;2025-05-27 13:01:48;e016615a@educacao.sp.gov.br;e014849a@educacao.sp.gov.br;e016536a@educacao.sp.gov.br;e039697a@educacao.sp.gov.br;e917312a@educacao.sp.gov.br;e014953a@educacao.sp.gov.br;e014692a@educacao.sp.gov.br;e014761a@educacao.sp.gov.br;e014771a@educacao.sp.gov.br;e016445a@educacao.sp.gov.br;e014886a@educacao.sp.gov.br;e495311a@educacao.sp.gov.br;e014801a@educacao.sp.gov.br;e039688a@educacao.sp.gov.br;e014862a@educacao.sp.gov.br;e014874a@educacao.sp.gov.br;e910036a@educacao.sp.gov.br;e477229a@educacao.sp.gov.br;e014448a@educacao.sp.gov.br;e913340a@educacao.sp.gov.br;e049273a@educacao.sp.gov.br;e014746a@educacao.sp.gov.br;e065468a@educacao.sp.gov.br;e014965a@educacao.sp.gov.br;e016718a@educacao.sp.gov.br;e925755a@educacao.sp.gov.br;e016559a@educacao.sp.gov.br;e014904a@educacao.sp.gov.br;e014941a@educacao.sp.gov.br;e014837a@educacao.sp.gov.br;e014795a@educacao.sp.gov.br;e900266a@educacao.sp.gov.br;e016512a@educacao.sp.gov.br;e014850a@educacao.sp.gov.br;e014825a@educacao.sp.gov.br;(14) 3882-6363;(14) 3844-1102;(14) 3882-1858;(14) 3882-2777;(14) 3813-8055;(15) 3246-1269;(14) 3842-1197;(14) 3811-3200;(14) 3882-8909;(14) 3882-0502;(14) 3841-2155;(14) 3846-1318;(14) 3884-1166;(15) 3283-1112;(14) 3883-1157;(15) 3252-1127;(14) 3814-4620;(14) 3848-1829;(15) 3283-1110;(14) 3882-4627;(14) 3888-1281;(15) 3257-1284;(14) 3841-2322;(14) 3882-9545;(14) 3813-6493;(14) 3815-1010;(14) 3814-1515;(14) 3841-3632;(14) 3882-4625;(14) 3883-7114;(14) 3814-8171;(14) 3845-1200;(14) 3848-1488;(14) 3841-3798;(15) 3253-1210;(14) 3886-1113;;
Escolas na cidade de Botucatu - SP;https://querobolsa.com.br/escolas/mensalidades/botucatu-sp;Avalie a escola | Avalie a escola e contribua para a educação brasileira.;2025-05-27 13:01:48;imprensa@querobolsa.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégio Tyto Alba – Avaré e Botucatu;https://tytoalba.com.br/;Colégio Tyto Alba – Avaré e Botucatu | (14) 3731-7377 – Avaré;2025-05-27 13:01:48;direcaogeral@tytoalba.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3731-7377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aitiara – Escola Waldorf em Botucatu;https://aitiara.org.br/;Não extraído;2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 99672-1073;(14) 3815-3290;(14) 3814-5253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Matrículas – Aitiara;https://aitiara.org.br/matriculas/;Não extraído;2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 99672-1073;(14) 3815-3290;(14) 3814-5253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Contatos e Sac – Aitiara;https://aitiara.org.br/contato/;Endereço: Rodovia Gastão Dal Farra km 4 – Bairro Demétria – Caixa Postal 102 – Botucatu, São Paulo 18603-970 Brasil;2025-05-27 13:01:48;secretaria@aitiara.org.br;financeiro@aitiara.org.br;conselho.das.familias@aitiara.org.br;captacao.recursos@aitiara.org.br;comissaodebolsas@aitiara.org.br;apadrinhamento.internacional@aitiara.org.br;alessandra.scalamandre@aitiara.org.br;comunicacao@aitiara.org.br;atendimento@aitiara.org.br;coord.adm@aitiara.org.br;biblioteca@aitiara.org.br;medico.escolar@aitiara.org.br;matriculas@aitiara.org.br;ci@aitiara.org.br;francesca.vercruysse@aitiara.org.br;diretoria@aitiara.org.br;;;;;;;;;;;;;;;;;;;;(14) 99838-1161;(14) 3815-3290;(14) 99672-1073;(14) 3814-5253;(14) 99873-1539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comunidade – Aitiara;https://aitiara.org.br/comunidade/;Não extraído;2025-05-27 13:01:48;secretaria@aitiara.org.br;financeiro@aitiara.org.br;conselho.das.familias@aitiara.org.br;captacao.recursos@aitiara.org.br;comissaodebolsas@aitiara.org.br;apadrinhamento.internacional@aitiara.org.br;alessandra.scalamandre@aitiara.org.br;comunicacao@aitiara.org.br;atendimento@aitiara.org.br;coord.adm@aitiara.org.br;biblioteca@aitiara.org.br;medico.escolar@aitiara.org.br;matriculas@aitiara.org.br;ci@aitiara.org.br;francesca.vercruysse@aitiara.org.br;diretoria@aitiara.org.br;;;;;;;;;;;;;;;;;;;;(14) 99672-1073;(14) 3815-3290;(14) 99873-1539;(14) 99838-1161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Livre de Botucatu – Pedagogia Waldorf – Educação Infantil e Ensino Fundamental;https://www.escolalivrebotucatu.com.br/;Rua General Telles, 2019 | Rua Maria Helena T. Monteferrante, 135;2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 98119-0786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prefeitura de Botucatu - SP;https://www.botucatu.sp.gov.br/escolas-municipais;EMEE Profª Nair Peres Sartori Rua Dr. João Queiroz Reis, 420 - Vila Sônia Telefone: ​(14) 3811-3114 | EMEF Américo V. dos Santos Rua Praça João Rodrigo de S. Aranha, s/n - Vila Santana Telefone: ​(14) 3811-3175;2025-05-27 13:01:48;contato@botucatu.sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3811-3181;(14) 3811-3182;(14) 3811-3167;(14) 3811-3127;(14) 3811-3180;(14) 3811-3194;(14) 3811-3102;(14) 3811-3137;(14) 3811-3134;(14) 3811-3193;(14) 3811-3140;(14) 3811-1400;(14) 3811-3118;(14) 3811-3106;(14) 3811-3185;(14) 3811-3138;(14) 3811-3114;(14) 3811-3197;(14) 3811-3126;(14) 3811-3175;(14) 3811-3125;(14) 3811-3133;(14) 3811-3132;(14) 3811-3124;(14) 3811-3107;(14) 3811-3113;;;;;;;;;;;;
