Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Telefone 1;Telefone 2;Telefone 3;Telefone 4;Telefone 5;Telefone 6;Telefone 7;Telefone 8;Telefone 9;Telefone 10;Telefone 11;Telefone 12;Telefone 13;Telefone 14
Escolas na cidade de Caruaru - PE;https://www.melhorescola.com.br/busca/pernambuco/caruaru;Escolas na cidade de Caruaru - PE | Caruaru;2025-05-26 17:58:20;imprensa@melhorescola.com.br;;;;;;;;;;;;;;;;
N/A;https://caruaru.educacaoadventista.org.br/;Caruaru - PE | Rua Bogotá, 95, 95 - Maurício de Nassau;2025-05-26 17:58:20;;;;(81) 2103-4905;(81) 2103-4900;;;;;;;;;;;;
N/A;https://caruaru.educacaoadventista.org.br/team;Caruaru - PE | Rua Bogotá, 95, 95 - Maurício de Nassau;2025-05-26 17:58:20;;;;(81) 2103-4905;(81) 2103-4900;;;;;;;;;;;;
N/A;https://caruaru.educacaoadventista.org.br/about;Caruaru - PE | As Obras do prédio do CEAC deram início, na rua Bogotá, bairro Maurício de Nassau.;2025-05-26 17:58:20;;;;(81) 2103-4905;(81) 2103-4900;;;;;;;;;;;;
N/A;https://caruaru.educacaoadventista.org.br/post/9550;Caruaru - PE | Rua Bogotá, 95, 95 - Maurício de Nassau;2025-05-26 17:58:20;;;;(81) 2103-4905;(81) 2103-4900;;;;;;;;;;;;
N/A;https://caruaru.educacaoadventista.org.br/post/8612;Caruaru - PE | Rua Bogotá, 95, 95 - Maurício de Nassau;2025-05-26 17:58:20;;;;(81) 2103-4905;(81) 2103-4900;;;;;;;;;;;;
Alternativo | Colégio Alternativo De Caruaru | Pernambuco;https://www.alternativocaruaru.com.br/;"Alternativo | Colégio Alternativo De Caruaru | Pernambuco | {""@context"":""https://schema.org/"",""@type"":""WebSite"",""name"":""Colégio Alternativo"",""url"":""https://www.alternativocaruaru.com.br""}";2025-05-26 17:58:20;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;;;;;;;;;;;;;;
Colégio Criativo - Uma vida de excelência e amor;https://colegiocriativo.com/;Endereço | Aniversário de Caruaru;2025-05-26 17:58:20;contato@colegiocriativo.com;;;;;;;;;;;;;;;;
Escolas na cidade de Caruaru - PE;https://querobolsa.com.br/escolas/mensalidades/caruaru-pe;Escolas na cidade de Caruaru - PE | Caruaru;2025-05-26 17:58:20;imprensa@querobolsa.com.br;;;;;;;;;;;;;;;;
Colégio Bela Flor;https://belaflorcriativa.com.br/;Bela Flor representa Caruaru na Fase Estadual dos Jogos Escolares de PE (JEPs) | Berçário, Educação Infantil e Fundamental Anos Inicias e Finais Av. José Mariano de Lima, 69 - Universitário | Caruaru - PE Trabalhe conosco;2025-05-26 17:58:20;seu@email.com;contato@belaflorcriativa.com.br;;81 2161-8587;;;;;;;;;;;;;
