Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Email 4;Email 5;Email 6;Email 7;Email 8;Email 9;Email 10;Email 11;Email 12;Email 13;Telefone 1;Telefone 2;Telefone 3;Telefone 4;Telefone 5;Telefone 6;Telefone 7
Escolas na cidade de Boa Vista - RR;https://querobolsa.com.br/escolas/mensalidades/boa-vista-rr;Avalie a escola | Avalie a escola e contribua para a educação brasileira.;2025-05-27 17:43:26;imprensa@querobolsa.com.br;;;;;;;;;;;;;;;;;;;
Escolas particulares em Boa Vista - RR;https://www.melhorescola.com.br/escola/por-mensalidade/roraima/boa-vista;".the-footer-navigation-desktop{display:flex;gap:1.5rem}.the-footer-navigation-desktop>li{flex:1}.the-footer-navigation-desktop>li>ul{display:flex;flex-direction:column;gap:.5rem} | .the-footer-navigation-mobile__link-list>li{padding:.75rem 0}";2025-05-27 17:43:26;imprensa@melhorescola.com.br;;;;;;;;;;;;;;;;;;;
Escola Colmeia Escola de ensino fundamental e médio em Boa Vista/RR;https://www.escolacolmeia.com.br/;Endereço: | Ative o JavaScript no seu navegador para preencher este formulário.;2025-05-27 17:43:26;;;;;;;;;;;;;;(95) 3224-6735;(95) 99138-7074;;;;;
Escolas no Ensino Médio na cidade de Boa Vista - RR;https://querobolsa.com.br/escolas/etapa-de-ensino/ensino-medio/boa-vista-rr;Avalie a escola | Avalie a escola e contribua para a educação brasileira.;2025-05-27 17:43:26;imprensa@querobolsa.com.br;;;;;;;;;;;;;;;;;;;
Prefeitura Municipal de Boa Vista;https://boavista.rr.gov.br/noticias/2024/11/ano-letivo-2025-edital-de-matriculas-da-rede-municipal-de-ensino-esta-disponivel-no-diario-oficial;NFS-e: Habilitação NFS-e Avulsa;2025-05-27 17:43:26;ouvidoria@prefeitura.boavista.br;;;;;;;;;;;;;;;;;;;
Fundação Bradesco;https://fundacao.bradesco/Escolas?ID=Boa_Vista;Endereço: Rua Severino Caetano da Silva, 82 - Jardim Floresta | Link página Trabalhe Conosco;2025-05-27 17:43:26;boavista@fundacao.bradesco;;;;;;;;;;;;;(95) 3628-5520;;;;;;
Prefeitura Municipal de Boa Vista;https://boavista.rr.gov.br/noticias/2025/1/comunicado-matriculas-para-1o-e-2o-anos-do-ensino-fundamental-estao-abertas-e-seguem-ate-17-de-janeiro?f=3124304940642600776;Newton Tavares | Escola Municipal do Campo José Davi Feitosa Neto;2025-05-27 17:43:26;ouvidoria@prefeitura.boavista.br;;;;;;;;;;;;;;;;;;;
Mais de 900 vagas são ofertadas em escolas da rede estadual de Roraima - GOVERNO DE RORAIMA;https://portal.rr.gov.br/mais-de-900-vagas-sao-ofertadas-em-escolas-da-rede-estadual-de-roraima/;Endereço: | Seu navegador não tem suporte a HTML5;2025-05-27 17:43:26;;;;;;;;;;;;;;(95) 2121-7930;;;;;;
Repositório Institucional - UFJF: A territorialização do entorno da escola em Boa Vista – Roraima: contribuições da Geografia para a gestão escolar;https://repositorio.ufjf.br/jspui/handle/ufjf/10245;Skip navigation | Sim, é possível compartilhar através das redes sociais: Facebook, Linkedin, Twitter, Whatsapp, ou enviar referência para o gerenciador Mendeley.;2025-05-27 17:43:26;repositorio@ufjf.br;;;;;;;;;;;;;;;;;;;
N/A;https://boavista.educacaoadventista.org.br/;"const userLanguage = navigator.language || navigator.userLanguage;
      document.documentElement.lang = userLanguage; | Programa Adventista de Avaliação da Educação Básica.";2025-05-27 17:43:26;;;;;;;;;;;;;;(95) 3624-4030;;;;;;
