Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Email 4;Email 5;Email 6;Email 7;Email 8;Email 9;Email 10;Email 11;Email 12;Email 13;Email 14;Email 15;Email 16;Email 17;Email 18;Email 19;Email 20;Email 21;Email 22;Email 23;Email 24;Email 25;Telefone 1;Telefone 2;Telefone 3;Telefone 4
Cotuca | Colégio Técnico de Campinas;https://cotuca.unicamp.br/;"Rua Culto a Ciência, nº 177
Bairro Botafogo -
CEP -  13020-060 - Campinas -SP | Toggle navigation";2025-05-26 16:43:44;contato@cotuca.unicamp.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégios Técnicos – Precoltec Cursos.;https://precoltec.com.br/colegios-tecnicos/;Endereço | Avenida Anchieta, 309;2025-05-26 16:43:44;precoltec@precoltec.com.br;;;;;;;;;;;;;;;;;;;;;;;;;(19) 3234-5272;;;
Etec Bento Quirino | Centro Paula Souza;https://www.cps.sp.gov.br/etecs/etec-bento-quirino/;Rua dos Andradas, 140 - Santa Ifigênia CEP 01208-000 – São Paulo – SP | Avaliações;2025-05-26 16:43:44;e043acad@cps.sp.gov.br;e043dir@cps.sp.gov.br;e043adm@cps.sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;11 3324-3300;(19) 3252-3596;;
Senac Campinas - Ensino Médio Técnico;https://www.sp.senac.br/senac-campinas/ensino-medio-tecnico;Rua Sacramento, 490 Centro, Campinas - SP, 13010-210 | Jardim Primavera;2025-05-26 16:43:44;campinas@sp.senac.br;carlos.hcaldani@sp.senac.br;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grau Técnico | Campinas-Centro;https://www.grautecnico.com.br/unidades/campinas;Avenida Moraes Sales 488, Centro, Campinas, SP 13010-000 | DPO (ENCARREGADO) David Henrique dpo@graueducacional.com.br;2025-05-26 16:43:44;campinascentropedagogico@grautecnico.com.br;campinascentroadministrador@grautecnico.com.br;campinascentrocurriculo@grautecnico.com.br;campinascentrofinanceiro@grautecnico.com.br;dpo@graueducacional.com.br;ouvidorianacional@graueducacional.com.br;campinascentrocomercial@grautecnico.com.br;;;;;;;;;;;;;;;;;;;;;;
Cursos Técnicos – Escola Arquimedes;https://www.arquimedes.com.br/novosite/cursos-tecnicos/;ENDEREÇO: | Rua Bernardino de Campos, 503, Centro – Campinas | São Paulo Fone (19) 2137-7000;2025-05-26 16:43:44;corporativo@arquimedes.com.br;vendas@arquimedes.com.br;;;;;;;;;;;;;;;;;;;;;;;;(19) 99865-3545;(19) 2137-7000;;
Data Way - Página Inicial;https://www.dataway.com.br/;Acessar AVA | Ative o JavaScript no seu navegador para preencher este formulário.;2025-05-26 16:43:44;direcao@dataway.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cursos Oferecidos – Escola Salesiana São José;https://www.essj.com.br/cpdb/cursos-oferecidos/;De segunda à sexta das 7h30 às 16h30 +55 (19) 3744-3000 Avenida Almeida Garret, 267 – Jd. Nossa Senhora Auxiliadora. CEP: 13075-490 Campinas/SP, BR. | Av. Almeida Garret, 267 - Nossa Srª Auxiliadora - Campinas/SP;2025-05-26 16:43:44;;;;;;;;;;;;;;;;;;;;;;;;;;(19) 3744-3000;;;
SENAI Campinas - R. Mange;https://sp.senai.br/unidade/campinas/;Endereço: Rua Pastor Cícero Canuto de Lima, 71 - São Bernardo - Campinas/SP | SENAI Campinas - R. Mange;2025-05-26 16:43:44;;;;;;;;;;;;;;;;;;;;;;;;;;(19) 3772-1840;(11) 3322-0050;;
Ensino Técnico - Portal Unicamp;https://unicamp.br/ensino-tecnico/;"Avenida Albert Einstein, n° 901 - Cidade Universitária ""Zeferino Vaz"" | Serviço de Atenção à Violência Sexual – SAVS";2025-05-26 16:43:44;secexec@unicamp.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ColÃ©gio TÃ©cnico Valorize-se;https://escolatecnicavalori.com.br/;Rua Santa BÃ¡rbara DÂ´oeste , 209 - Jd. Novo Campos Eliseos, 13050-542 - Campinas - SP | Cursos Institucional Conteudo Unidade Fale Conosco;2025-05-26 16:43:44;faleconosco.valori@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;(19) 3762-4078;(19) 98999-7424;(19)3762-4078;(19)98999-7424
Escola - ETEC Bento Quirino;https://etecbentoquirino.com.br/new/escola/; | Ao navegar você concorda com o uso de cookies!;2025-05-26 16:43:44;e043apm@cps.sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Senac Campinas - Cursos Técnicos;https://www.sp.senac.br/senac-campinas/cursos-tecnicos;Rua Sacramento, 490 Centro, Campinas - SP, 13010-210 | Jardim Primavera;2025-05-26 16:43:44;campinas@sp.senac.br;carlos.hcaldani@sp.senac.br;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etec Conselheiro Antônio Prado | Centro Paula Souza;https://www.cps.sp.gov.br/etecs/etec-conselheiro-antonio-prado/;Rua dos Andradas, 140 - Santa Ifigênia CEP 01208-000 – São Paulo – SP | Avenida Cônego Antônio Roccato, s/nº - KM 3,5 Jd. Santa Mônica - CEP: 13082-015;2025-05-26 16:43:44;e007dir@cps.sp.gov.br;e007adm@cps.sp.gov.br;e007acad@cps.sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;11 3324-3300;(19) 3246-2888;;
Trianon Campinas;https://www.trianoncampinas.com.br/;Por favor, preencha o campo em branco. | Por favor, preencha o campo.;2025-05-26 16:43:44;;;;;;;;;;;;;;;;;;;;;;;;;;(19) 3272-9540;;;
Ceprocamp oferece vagas para cinco cursos técnicos gratuitos | Portal da Educação;http://educa.campinas.sp.gov.br/post/2023/ceprocamp-oferece-vagas-para-cinco-cursos-tecnicos-gratuitos;Navegação principal | Ceprocamp oferece vagas para cinco cursos técnicos gratuitos | Portal da Educação;2025-05-26 16:43:44;sec.ceprocamp@campinas.sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;;;(19) 99802-2423;;;
Grau Técnico | Campinas-Centro;https://www.grautecnico.com.br/campinas/matriculasabertas;Não extraído;2025-05-26 16:43:44;campinascentropedagogico@grautecnico.com.br;campinascentrocurriculo@grautecnico.com.br;campinascentroadministrador@grautecnico.com.br;campinascentrofinanceiro@grautecnico.com.br;campinascentrocomercial@grautecnico.com.br;;;;;;;;;;;;;;;;;;;;;;;;
CEKETEC - Colégio Técnico Centro Kennedy;https://www.ceketec.com.br/;Endereço: | Endereço: Av. Rio de Janeiro, 327 Campinas – SP CEP 13031-340;2025-05-26 16:43:44;contato@ceketec.com.br;;;;;;;;;;;;;;;;;;;;;;;;;(19)3272-7224;(19)97806-4804;;
Escola Arquimedes – Cursos Técnicos, Profissionalizantes e muito mais.;https://www.arquimedes.com.br/novosite/;ENDEREÇO: | Rua Bernardino de Campos, 503, Centro – Campinas | São Paulo Fone (19) 2137-7000;2025-05-26 16:43:44;corporativo@arquimedes.com.br;vendas@arquimedes.com.br;;;;;;;;;;;;;;;;;;;;;;;;(19) 99865-3545;(19) 2137-7000;;
Curso Técnico - Todos os Cursos - ISI Educação e Cultura;https://isicampinas.faculdadesofia.com.br/;"var PojoA11yOptions = {""focusable"":"""",""remove_link_target"":"""",""add_role_links"":""1"",""enable_save"":""1"",""save_expiration"":""12""};";2025-05-26 16:43:44;contato@faculdadesofia.com.br;secretaria@faculdadesofia.com.br;;;;;;;;;;;;;;;;;;;;;;;;(19) 3737-5500;;;
CEPROCAMP | FUMEC - Fundação Municipal para Educação Comunitária;https://www.fumec.sp.gov.br/ceprocamp;Rua Antônio Cesarino n° 985 - Centro - Campinas/SP - 13015-291 - (19) 3519-4300 Horário de Funcionamento: de segunda a sexta-feira das 9h às 17h. CNPJ: 57.500.902/0001-04 | Avenida 20 de Novembro, 145 – 13013-140 – Centro – Campinas/SP (ao lado da Estação Cultura) Horário de Funcionamento: de segunda a sexta-feira das 8h às 21h. (19) 3731-3689 / 3731-3653;2025-05-26 16:43:44;;;;;;;;;;;;;;;;;;;;;;;;;;(19) 3519-4300;(19) 3731-3689;;
ETECAP;https://etecap.com.br/; | 2018 - 2024 © ETECAP Ao navegar você concorda com o uso de cookies!;2025-05-26 16:43:44;e007.nsa@etec.sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;;;(19) 3246-2888;;;
Interativo FormaÃ§Ã£o - EducaÃ§Ã£o Profissional;https://interativoformacao.com.br/come%C3%A7o/;Rua Placido Soave, 160 - ChÃ¡cara SÃ£o JosÃ© Campinas - sp, CEP: 13054-040 | ;2025-05-26 16:43:44;contato@interativo.com.br;interativo.forma@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;(19) 97109-2989;;;
SENAI - Cursos SENAI-SP - Cursos Técnicos;https://www.sp.senai.br/cursos/cursos-tecnicos/;Rua Monsenhor Andrade, 298 | Av. Presidente Vargas, 2500;2025-05-26 16:43:44;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 3322-5000;(16) 2103-4900;(11) 3322-0050;
TÃ©cnico em Enfermagem - Presencial;https://matricula.anhanguera.com/curso-tecnico/tecnico-em-enfermagem/;4Âº Semestre: EstÃ¡gio supervisionado a Pacientes Graves e GestÃ£o em Enfermagem. | 2ÂºS -  PrÃ¡ticas AvanÃ§adas de Enfermagem e Cuidados em SaÃºde;2025-05-26 16:43:44;contato@ampli.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cursos Técnicos | Conservatório Carlos Gomes;https://www.conservatoriocarlosgomes.com/cursos-tecnicos;ENDEREÇO | Use tab to navigate through the menu items.;2025-05-26 16:43:44;79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com;c183baa23371454f99f417f6616b724d@sentry.wixpress.com;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;secretaria@ccg.art.br;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com;;;;;;;;;;;;;;(19) 3253-0375;;;
Home - Projeta Cursos Campinas;https://projetacampinas.com.br/;Nosso Endereço | Estamos em uma das mais conhecidas avenidas da cidade de Campinas-SP, atendemos toda região metropolitana.;2025-05-26 16:43:44;contato@projetacampinas.com.br;;;;;;;;;;;;;;;;;;;;;;;;;(19)2121-7265;(19) 2121-7265;;
Cursos Técnicos – Diretoria de Ensino – Região de Campinas Oeste;https://decampinasoeste.educacao.sp.gov.br/cursos-tecnicos/;Endereço Escolas Estaduais | Rua Cândido Mota, 186 – Fundação da Casa Popular – Campinas – SP – Fones: 3772-2760 – decoe@educacao.sp.gov.br;2025-05-26 16:43:44;decoe@educacao.sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abtec Campinas – Cursos profissionalizantes;https://www.abteccampinas.com.br/;Endereço | Av. Francisco Glicério, 777 – Centro – Campinas – São Paulo;2025-05-26 16:43:44;;;;;;;;;;;;;;;;;;;;;;;;;;11 98602-8081;;;
Unitec - Escola Técnica;https://unitecpr.com.br/;Este iframe contém a lógica necessária para manusear os formulários Gravity Forms movidos a AJAX. | Av. Marechal Floriano Peixoto, 478 – Centro;2025-05-26 16:43:44;unitec@unitecpr.com.br;;;;;;;;;;;;;;;;;;;;;;;;;(41) 3232-0962;(41) 3527-0027;(41) 99784-1874;
Ceprocamp oferece 330 vagas gratuitas para cursos técnicos em Campinas | Educação | G1;https://g1.globo.com/sp/campinas-regiao/educacao/noticia/2024/11/25/ceprocamp-oferece-330-vagas-gratuitas-para-cursos-tecnicos-em-campinas.ghtml;Caruaru e região | Carnaval 2025;2025-05-26 16:43:44;cobertura-ao-vivo-frontend@apps.globoid;957b0b3a18c149f4814f2525021e644f@web.sentry.globoi.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grau Profissionalizante | Aqui, sua paixão vira profissão;https://www.graup.com.br/;Excel Avançado | Gustavo;2025-05-26 16:43:44;ouvidorianacional@graueducacional.com.br;dpo@graueducacional.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microlins 2025;https://www.microlins.com.br/;O JavaScript parece estar desabilitado no seu navegador. | Para ter uma melhor experiência em nosso site, certifique-se de ativar o javascript em seu navegador.;2025-05-26 16:43:44;johnsmith@domain.com;exemplo@dominio.com;johndoe@domain.com;;;;;;;;;;;;;;;;;;;;;;;;;;
Início - Politecnica BR;https://politecnicabr.com.br/;através do EJA | Entre em contato diretamente com nossa Central de Atendimento através do 0800 084 2024 ou (84)2010-2727 Horário de atendimento Segunda a Sexta 09:00 as 18:00;2025-05-26 16:43:44;;;;;;;;;;;;;;;;;;;;;;;;;;(84)2010-2727;;;
CRT-SP | CRT-SP;https://crtsp.gov.br/;Endereços: | Avenida da Liberdade, 1000, 16º Andar;2025-05-26 16:43:44;sat@crtsp.gov.br;pessoa.juridica@crtsp.gov.br;escola@crtsp.gov.br;empresa@crtsp.gov.br;trt@crtsp.gov.br;fiscalizacao@crtsp.gov.br;palestrasescola@crtsp.gov.br;palestrasescolas@crtsp.gov.br;atendimento@crtsp.gov.br;;;;;;;;;;;;;;;;;(11) 3580-1000;;;
Aprovatec | Cursinho preparatório ETEC, COTUCA e ETECAP;https://www.aprovatec.com.br/; | 2º Passo Avaliação diagnóstica;2025-05-26 16:43:44;atendimento@mundoenem.com.br;%20atendimento@mundoenem.com.br;;;;;;;;;;;;;;;;;;;;;;;;(19) 3825-0110;;;
INED EAD - Cursos Técnicos e EJA Online com Qualidade para Avançar na Carreira;https://www.inedead.com.br/;Endereços das Delegacias do Creci-SP | INED EAD - Cursos Técnicos e EJA Online com Qualidade para Avançar na Carreira;2025-05-26 16:43:44;comercial@institutonacional.com.br;;;;;;;;;;;;;;;;;;;;;;;;;(11) 96193-1671;;;
Escola Técnica em Campinas - Quais as Melhores de 2025?;https://aprimoramente.com/guia/escola-tecnica/presencial/campinas-sp;Rua José Paulino, 1359 - Centro - Campinas/SP | Rua Sacramento, 490, - até 609/610 - Centro - Campinas/SP;2025-05-26 16:43:44;coordenacao.pl@esateceducacional.com.br;campinas@microcamp.com.br;apontieri@sp.senai.br;campinas@ifsp.edu.br;ce403@sesisp.org.br;campcarecursos@uol.com.br;direcao@dataway.com.br;saojose@essj.com.br;escolatrianon@gmail.com;selma@arquimedes.com.br;campinascentro@grautecnico.com.br;claudia.santos@unisal.br;eliane.matiello@isicampinas.org.br;campinascentropedagogico@gmail.com;campinas@fundacaobradesco.org.br;e007dir@cps.sp.gov.br;fitel@fitel.com.br;financeiro@interativoformacao.com.br;escamp.cdrh@ig.com.br;campinas@sp.senac.br;capobianco@sp.senai.br;ellen_lombardi@hotmail.com;fumec.ceprocamp@campinas.sp.gov.br;e043dir@cps.sp.gov.br;allan@ipep.edu.br;;;;
CTECAMP COLEGIO TECNICO | QEdu;https://qedu.org.br/escola/35262924-ctecamp-colegio-tecnico;ANCHIETA, 299 AVENIDA. CENTRO. 13015-101 Campinas - SP.;2025-05-26 16:43:44;;;;;;;;;;;;;;;;;;;;;;;;;;(19) 3739-6444;;;
CFT - Conselho Federal dos Técnicos Industriais;https://www.cft.org.br/;Endereço: SCS, Quadra 02, Bloco D, Ed. Oscar Niemeyer, 9º Andar CEP 70.316-900 - Brasília/DF | Selecionar CRT CRT-01 CRT-02 CRT-03 CRT-04 CRT-BA CRT-ES CRT-MG CRT-RJ CRT-RN CRT-RS CRT-SP - Select - Selecionar CRT CRT-01 CRT-02 CRT-03 CRT-04 CRT-BA CRT-ES CRT-MG CRT-RJ CRT-RN CRT-RS CRT-SP;2025-05-26 16:43:44;cft@cft.org.br;ouvidoria@cft.org.br;;;;;;;;;;;;;;;;;;;;;;;;;;;
